category,level,outcome,outcome_level,n,
CC392,missing,DD14,41.4,1,
CC392,missing,DD14,48.7,1,
CC392,missing,DD14,43.2,1,
CC392,missing,DD14,9,1,
CC392,missing,DD14,42.3,1,
CC392,missing,DD14,49.1,1,
CC392,missing,DD14,22,1,
CC392,missing,DD14,52.9,1,
CC392,missing,DD14,48.9,1,
CC392,missing,DD14,51.7,1,
CC392,missing,DD14,35.5,1,
CC392,missing,DD14,46.6,1,
CC392,missing,DD14,74,1,
CC392,missing,DD14,54.3,1,
CC392,missing,DD14,52.8,1,
CC392,missing,DD14,47.7,1,
CC392,missing,DD14,65,1,
CC392,missing,DD14,60,1,
CC392,missing,DD14,49.2,1,
CC392,missing,DD14,40.6,1,
CC392,missing,DD14,31.5,1,
CC392,missing,DD14,50.7,1,
CC392,missing,DD14,48.8,1,
CC392,missing,DD14,51.8,1,
CC392,missing,DD14,52.7,1,
CC392,missing,DD14,46.8,1,
CC392,missing,DD14,54.4,1,
CC392,missing,DD14,34.2,1,
CC392,missing,DD14,50.1,1,
CC392,missing,DD14,43.6,1,
CC392,missing,DD14,44.7,1,
CC392,missing,DD14,50.8,1,
CC392,missing,DD14,51.9,1,
